name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;239;0;358;3163;1138;3163;1090;0
header;235;170;235;210;1862;210;1862;170
A;1034;231;1034;261;1063;261;1063;231
D;1074;231;1074;257;1103;257;1103;231
B;572;240;572;260;587;260;587;240
B;1047;913;1047;940;1066;940;1066;913
B;1020;1437;1020;1456;1035;1456;1035;1437
D;1056;2212;1056;2240;1078;2240;1078;2212
C;671;2410;671;2437;688;2437;688;2410
D;648;2445;648;2471;664;2471;664;2445
C;675;2453;675;2472;690;2472;690;2453
B;677;2481;677;2496;699;2496;699;2481
A;885;2809;885;2809;885;2809;885;2809
A;370;2883;370;2890;375;2890;375;2883
A;446;2997;446;2999;447;2999;447;2997
A;468;2999;468;3004;471;3004;471;2999
A;1092;3004;1092;3006;1093;3006;1093;3004
