name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;559;0;441;3155;1083;3155;1083;0
header;235;159;235;196;1882;196;1882;159
A;1046;220;1046;247;1067;247;1067;220
B;1047;897;1047;924;1066;924;1066;897
B;750;1289;750;1306;764;1306;764;1289
A;800;1824;800;1824;800;1824;800;1824
A;744;2014;744;2014;744;2014;744;2014
B;738;2168;738;2200;758;2200;758;2168
D;1047;2302;1047;2330;1068;2330;1068;2302
A;496;2373;496;2381;502;2381;502;2373
A;898;2480;898;2480;900;2480;900;2480
A;620;2553;620;2571;634;2571;634;2553
A;729;2795;729;2795;730;2795;730;2795
